"","Week","0-14","15-44","45-64","> 65"
"1",1,2,64,658,5870
"2",2,0,87,819,6865
"3",3,1,98,928,8029
"4",4,0,103,960,7951
"5",5,0,99,864,6860
"6",6,1,77,721,5316
"7",7,0,59,582,3807
"8",8,1,46,447,2705
"9",9,1,49,354,1876
"10",10,1,30,266,1340
"11",11,1,16,191,838
"12",12,0,14,168,618
"13",13,0,20,86,344
"14",14,0,17,79,326
"15",15,0,15,77,310
"16",16,0,5,60,225
"17",17,0,9,34,189
"18",18,0,5,33,101
"19",19,0,6,36,122
"20",20,0,3,19,93
"21",21,0,5,28,73
"22",22,0,7,23,78
"23",23,1,4,19,69
"24",24,0,2,22,92
"25",25,0,7,30,81
"26",26,0,11,28,93
"27",27,0,14,45,158
"28",28,1,13,60,194
"29",29,0,20,77,295
"30",30,1,21,87,359
"31",31,2,48,122,440
"32",32,0,30,142,480
"33",33,0,24,134,496
"34",34,1,33,154,582
"35",35,1,29,133,618
"36",36,1,30,162,805
"37",37,2,27,174,846
"38",38,1,36,184,889
"39",39,2,32,156,784
"40",40,0,22,141,662
"41",41,1,22,120,749
"42",42,0,22,158,795
"43",43,4,24,143,873
"44",44,2,24,175,993
"45",45,2,28,183,985
"46",46,0,32,184,874
"47",47,2,29,159,790
"48",48,0,30,171,711
"49",49,2,30,143,713
"50",50,1,35,167,653
"51",51,2,45,186,702
"52",52,0,30,142,468
